userid,Average Screen Time,Average Spent on App (INR),Left Review,Ratings,New Password Request,Last Visited Minutes,Status,Segments
1125,16,971,1,6,2,1011,Installed,Retained
1126,11,255,0,8,7,2592,Installed,Retained
1127,19,294,0,5,1,1515,Installed,Retained
1128,21,682,0,5,4,2356,Installed,Retained
1129,38,601,0,9,5,4027,Installed,Retained
1130,30,59,1,8,2,2147,Installed,Retained
1131,27,627,0,7,8,3234,Installed,Retained
1132,29,73,0,8,1,432,Installed,Retained
1133,7,5,1,2,8,2739,Installed,Retained
1134,33,500,0,8,4,963,Installed,Retained
1135,16,364,1,6,3,1363,Installed,Retained
1136,15,464,0,6,8,1992,Installed,Retained
1137,10,10,1,1,8,3452,Installed,Retained
1138,29,87,1,6,3,2308,Installed,Retained
1139,1,13,0,2,2,12629,Installed,Needs Attention
1140,19,570,0,7,8,3105,Installed,Retained
1141,44,667,0,7,1,2276,Installed,Retained
1142,6,96,0,0,4,1742,Installed,Retained
1143,33,485,0,10,1,721,Installed,Retained
1144,39,740,0,9,6,3309,Installed,Retained
1145,9,27,1,4,7,823,Installed,Retained
1146,25,549,1,6,4,3312,Installed,Retained
1147,2,42,1,2,11,40603,Uninstalled,Churn
1148,40,219,0,8,5,1178,Installed,Retained
1149,43,550,1,9,1,4270,Installed,Retained
1150,16,861,1,8,1,3428,Installed,Retained
1151,1,95,1,2,10,31724,Uninstalled,Churn
1152,35,991,0,5,7,1547,Installed,Retained
1153,43,722,1,6,4,3163,Installed,Retained
1154,24,84,1,8,8,835,Installed,Retained
1155,7,12,1,3,5,4848,Installed,Retained
1156,17,153,0,6,2,4795,Installed,Retained
1157,49,90,1,9,2,2041,Installed,Retained
1158,17,799,1,5,3,3900,Installed,Retained
1159,3,83,0,0,8,25789,Uninstalled,Needs Attention
1160,14,938,0,7,7,1261,Installed,Retained
1161,24,582,1,6,3,253,Installed,Retained
1162,41,96,1,7,7,3385,Installed,Retained
1163,44,431,1,8,1,2008,Installed,Retained
1164,14,402,1,8,6,3529,Installed,Retained
1165,22,629,0,6,1,360,Installed,Retained
1166,29,91,1,7,8,3241,Installed,Retained
1167,44,674,1,10,8,4975,Installed,Retained
1168,23,901,1,7,6,684,Installed,Retained
1169,14,196,0,7,8,2905,Installed,Retained
1170,46,151,1,5,4,2354,Installed,Retained
1171,37,564,0,7,8,4004,Installed,Retained
1172,33,493,1,6,4,2221,Installed,Retained
1173,12,71,1,10,5,3853,Installed,Retained
1174,3,46,0,2,14,24048,Uninstalled,Needs Attention
1175,40,266,0,8,3,3559,Installed,Retained
1176,29,838,0,10,7,3737,Installed,Retained
1177,14,135,0,5,2,2687,Installed,Retained
1178,31,72,0,5,1,4566,Installed,Retained
1179,50,839,0,6,5,2351,Installed,Retained
1180,9,12,1,1,5,4818,Installed,Retained
1181,3,100,0,3,7,29465,Uninstalled,Needs Attention
1182,4,37,1,3,5,43650,Uninstalled,Churn
1183,44,867,0,10,7,4299,Installed,Retained
1184,4,51,0,0,8,38744,Uninstalled,Churn
1185,45,375,0,5,8,873,Installed,Retained
1186,42,798,0,9,2,4624,Installed,Retained
1187,40,696,1,7,8,592,Installed,Retained
1188,35,894,0,8,3,1425,Installed,Retained
1189,17,522,0,8,6,437,Installed,Retained
1190,5,46,0,3,7,1791,Installed,Retained
1191,19,661,1,8,1,2640,Installed,Retained
1192,47,750,0,6,8,553,Installed,Retained
1193,20,101,0,9,7,1194,Installed,Retained
1194,13,73,0,9,3,1185,Installed,Retained
1195,13,316,1,5,8,1267,Installed,Retained
1196,30,482,1,9,5,617,Installed,Retained
1197,46,747,0,9,2,1751,Installed,Retained
1198,7,36,1,1,5,3735,Installed,Retained
1199,1,92,0,1,14,19379,Uninstalled,Needs Attention
1200,48,634,1,7,5,4059,Installed,Retained
1201,29,990,1,8,6,1340,Installed,Retained
1202,18,212,0,5,1,4078,Installed,Retained
1203,8,33,0,3,1,2979,Installed,Retained
1204,37,987,0,10,6,1393,Installed,Retained
1205,28,892,0,7,3,1136,Installed,Retained
1206,25,489,1,10,5,2437,Installed,Retained
1207,2,69,1,0,7,15053,Uninstalled,Needs Attention
1208,14,279,1,6,8,1306,Installed,Retained
1209,50,882,0,9,4,203,Installed,Retained
1210,29,721,1,7,5,4378,Installed,Retained
1211,31,674,1,7,7,3225,Installed,Retained
1212,24,809,0,10,4,2020,Installed,Retained
1213,0,93,0,4,15,38821,Uninstalled,Churn
1214,17,296,1,9,6,2263,Installed,Retained
1215,9,94,1,2,6,2608,Installed,Retained
1216,15,372,1,9,8,3642,Installed,Retained
1217,32,164,1,8,6,622,Installed,Retained
1218,14,146,1,9,5,769,Installed,Retained
1219,41,672,1,9,3,3850,Installed,Retained
1220,1,16,0,5,8,49715,Uninstalled,Churn
1221,15,205,0,5,2,3549,Installed,Retained
1222,26,150,1,9,2,3150,Installed,Retained
1223,12,836,0,5,8,1746,Installed,Retained
1224,18,701,1,6,2,2530,Installed,Retained
1225,14,616,1,9,7,2984,Installed,Retained
1226,11,378,1,10,8,3909,Installed,Retained
1227,35,998,0,6,3,2805,Installed,Retained
1228,3,10,1,4,8,23311,Uninstalled,Needs Attention
1229,48,298,1,6,8,622,Installed,Retained
1230,24,344,1,8,4,1872,Installed,Retained
1231,32,496,1,7,7,3815,Installed,Retained
1232,43,399,1,8,4,407,Installed,Retained
1233,21,520,0,5,7,674,Installed,Retained
1234,7,19,1,1,1,4092,Installed,Retained
1235,5,0,1,1,6,1713,Installed,Retained
1236,32,491,0,6,1,4452,Installed,Retained
1237,50,974,1,9,7,3002,Installed,Retained
1238,19,865,0,9,3,2849,Installed,Retained
1239,14,662,0,5,3,1014,Installed,Retained
1240,41,250,0,5,8,2119,Installed,Retained
1241,26,485,0,9,5,3937,Installed,Retained
1242,15,506,0,10,1,3981,Installed,Retained
1243,37,534,0,7,1,413,Installed,Retained
1244,14,603,0,8,3,1559,Installed,Retained
1245,31,817,1,6,5,1072,Installed,Retained
1246,40,300,0,9,2,4896,Installed,Retained
1247,39,595,1,7,5,1254,Installed,Retained
1248,26,936,1,7,3,2373,Installed,Retained
1249,24,488,0,6,4,4692,Installed,Retained
1250,33,242,0,8,2,3265,Installed,Retained
1251,10,31,0,0,8,859,Installed,Retained
1252,24,392,0,9,4,1818,Installed,Retained
1253,33,333,0,9,3,3839,Installed,Retained
1254,18,328,1,9,1,242,Installed,Retained
1255,20,828,1,10,5,2268,Installed,Retained
1256,31,839,1,10,6,1027,Installed,Retained
1257,4,17,0,5,5,24656,Uninstalled,Needs Attention
1258,49,188,1,10,1,1008,Installed,Retained
1259,39,405,0,8,1,1523,Installed,Retained
1260,24,634,0,7,4,3562,Installed,Retained
1261,25,715,1,7,3,2310,Installed,Retained
1262,21,598,1,7,3,4136,Installed,Retained
1263,36,755,1,9,7,1391,Installed,Retained
1264,32,138,0,7,5,2432,Installed,Retained
1265,3,77,0,0,5,18701,Uninstalled,Needs Attention
1266,23,310,1,9,7,991,Installed,Retained
1267,25,477,0,8,6,3295,Installed,Retained
1268,4,91,1,2,15,36469,Uninstalled,Churn
1269,15,252,1,10,8,1324,Installed,Retained
1270,26,385,0,9,5,4941,Installed,Retained
1271,35,217,1,7,4,2463,Installed,Retained
1272,14,81,1,9,1,4230,Installed,Retained
1273,43,429,0,7,8,2769,Installed,Retained
1274,16,254,1,10,3,1754,Installed,Retained
1275,9,80,0,5,3,1828,Installed,Retained
1276,15,361,1,6,2,4539,Installed,Retained
1277,7,8,1,5,2,3001,Installed,Retained
1278,12,863,0,10,8,4269,Installed,Retained
1279,36,270,0,9,6,1728,Installed,Retained
1280,18,813,0,9,7,1459,Installed,Retained
1281,14,826,1,8,5,1776,Installed,Retained
1282,24,511,0,6,2,2284,Installed,Retained
1283,8,9,1,4,6,2119,Installed,Retained
1284,28,860,1,6,4,2833,Installed,Retained
1285,30,226,1,9,4,3766,Installed,Retained
1286,46,135,1,10,7,1042,Installed,Retained
1287,30,416,0,5,4,2998,Installed,Retained
1288,30,463,0,9,3,4154,Installed,Retained
1289,49,877,1,7,2,873,Installed,Retained
1290,17,360,0,10,5,2641,Installed,Retained
1291,32,830,1,9,6,3919,Installed,Retained
1292,0,32,1,4,13,21352,Uninstalled,Needs Attention
1293,22,909,0,10,8,942,Installed,Retained
1294,42,63,1,7,7,220,Installed,Retained
1295,36,300,1,9,6,3144,Installed,Retained
1296,34,285,1,7,6,673,Installed,Retained
1297,37,837,0,6,6,4166,Installed,Retained
1298,23,320,1,7,4,4058,Installed,Retained
1299,31,621,0,5,1,479,Installed,Retained
1300,14,152,0,9,7,1769,Installed,Retained
1301,26,486,1,7,6,1256,Installed,Retained
1302,19,401,1,6,6,3299,Installed,Retained
1303,5,79,0,2,6,5099,Installed,Retained
1304,0,95,0,0,6,17126,Uninstalled,Needs Attention
1305,33,778,1,9,4,1526,Installed,Retained
1306,11,923,1,10,5,4629,Installed,Retained
1307,4,38,0,0,2,5843,Installed,Retained
1308,31,95,0,10,7,272,Installed,Retained
1309,33,990,0,10,4,828,Installed,Retained
1310,49,679,0,10,7,1312,Installed,Retained
1311,33,617,1,7,3,3933,Installed,Retained
1312,22,994,0,10,5,4074,Installed,Retained
1313,25,519,0,7,5,4906,Installed,Retained
1314,9,25,0,2,7,2294,Installed,Retained
1315,17,396,0,9,4,4180,Installed,Retained
1316,47,226,1,10,1,3556,Installed,Retained
1317,18,993,0,8,2,3438,Installed,Retained
1318,44,107,0,6,2,1845,Installed,Retained
1319,40,869,1,6,1,4340,Installed,Retained
1320,23,60,1,6,1,614,Installed,Retained
1321,25,749,1,10,1,3127,Installed,Retained
1322,25,863,0,5,6,3663,Installed,Retained
1323,24,158,1,8,5,4578,Installed,Retained
1324,39,424,1,5,6,931,Installed,Retained
1325,25,984,1,7,6,1008,Installed,Retained
1326,6,20,1,1,7,2780,Installed,Retained
1327,42,988,0,8,4,1976,Installed,Retained
1328,2,39,0,1,15,45339,Uninstalled,Churn
1329,46,560,1,9,4,4557,Installed,Retained
1330,36,721,1,6,3,4769,Installed,Retained
1331,21,261,0,7,8,450,Installed,Retained
1332,0,100,1,5,3,13777,Installed,Needs Attention
1333,29,492,1,8,8,4684,Installed,Retained
1334,11,222,0,8,5,4297,Installed,Retained
1335,17,788,0,7,1,4344,Installed,Retained
1336,1,31,0,4,11,47187,Uninstalled,Churn
1337,37,175,1,8,2,2190,Installed,Retained
1338,35,198,1,5,4,2290,Installed,Retained
1339,15,481,1,9,5,542,Installed,Retained
1340,18,863,1,5,6,1764,Installed,Retained
1341,49,580,0,8,8,4885,Installed,Retained
1342,24,216,0,10,1,3049,Installed,Retained
1343,12,69,0,8,5,2628,Installed,Retained
1344,15,807,0,5,1,4024,Installed,Retained
1345,26,739,0,8,5,4155,Installed,Retained
1346,27,704,1,9,1,3756,Installed,Retained
1347,24,357,1,7,2,640,Installed,Retained
1348,39,614,1,10,1,3173,Installed,Retained
1349,6,87,1,4,4,3890,Installed,Retained
1350,33,559,0,9,4,4818,Installed,Retained
1351,43,660,0,8,1,252,Installed,Retained
1352,49,623,0,8,1,4047,Installed,Retained
1353,5,93,0,4,10,49696,Uninstalled,Churn
1354,44,350,1,10,5,1642,Installed,Retained
1355,0,42,0,5,14,22099,Uninstalled,Needs Attention
1356,35,936,0,7,6,4705,Installed,Retained
1357,5,47,0,0,8,16523,Uninstalled,Needs Attention
1358,1,28,1,2,11,19278,Uninstalled,Needs Attention
1359,34,841,0,5,3,1115,Installed,Retained
1360,32,89,0,7,3,2953,Installed,Retained
1361,43,833,0,9,1,4551,Installed,Retained
1362,32,763,0,9,1,2295,Installed,Retained
1363,16,68,0,5,7,426,Installed,Retained
1364,45,330,0,8,5,1022,Installed,Retained
1365,25,159,0,7,7,4502,Installed,Retained
1366,24,340,1,10,6,2555,Installed,Retained
1367,46,832,0,6,7,577,Installed,Retained
1368,28,992,0,5,6,2163,Installed,Retained
1369,30,849,1,8,5,714,Installed,Retained
1370,26,742,0,6,7,4988,Installed,Retained
1371,8,73,1,1,4,3300,Installed,Retained
1372,33,190,1,5,2,789,Installed,Retained
1373,35,928,1,8,3,862,Installed,Retained
1374,12,718,0,9,1,1744,Installed,Retained
1375,49,238,1,8,6,4270,Installed,Retained
1376,34,736,0,10,6,4581,Installed,Retained
1377,20,992,1,7,5,2166,Installed,Retained
1378,18,165,0,10,1,430,Installed,Retained
1379,4,25,0,3,8,39153,Uninstalled,Churn
1380,7,75,0,5,7,697,Installed,Retained
1381,14,326,0,10,4,1944,Installed,Retained
1382,41,173,0,10,4,4647,Installed,Retained
1383,11,930,1,8,6,4989,Installed,Retained
1384,15,349,0,5,2,2546,Installed,Retained
1385,41,152,1,10,8,4526,Installed,Retained
1386,22,719,0,10,4,1658,Installed,Retained
1387,21,597,1,6,3,2828,Installed,Retained
1388,18,286,0,7,7,400,Installed,Retained
1389,35,754,1,8,5,1790,Installed,Retained
1390,34,88,1,9,4,2901,Installed,Retained
1391,4,50,0,0,11,27125,Uninstalled,Needs Attention
1392,16,768,1,6,4,2942,Installed,Retained
1393,18,158,1,10,8,2768,Installed,Retained
1394,19,729,0,9,3,1414,Installed,Retained
1395,0,97,0,3,9,37826,Uninstalled,Churn
1396,3,37,0,1,1,6641,Installed,Retained
1397,30,900,1,10,3,4080,Installed,Retained
1398,13,188,1,7,1,1791,Installed,Retained
1399,2,89,0,4,6,6207,Installed,Retained
1400,50,70,0,5,1,3670,Installed,Retained
1401,13,536,1,7,8,4247,Installed,Retained
1402,50,609,0,8,7,935,Installed,Retained
1403,23,796,0,6,4,2983,Installed,Retained
1404,34,95,1,9,6,969,Installed,Retained
1405,36,871,1,8,2,3179,Installed,Retained
1406,4,58,1,0,11,32302,Uninstalled,Churn
1407,7,10,1,2,6,1857,Installed,Retained
1408,41,733,1,10,8,4911,Installed,Retained
1409,34,608,1,9,7,2865,Installed,Retained
1410,20,506,1,6,8,1883,Installed,Retained
1411,31,977,0,6,3,1135,Installed,Retained
1412,35,761,0,7,3,1949,Installed,Retained
1413,41,708,1,8,2,680,Installed,Retained
1414,37,534,0,7,5,395,Installed,Retained
1415,8,71,0,1,5,4244,Installed,Retained
1416,2,9,1,3,2,5048,Installed,Retained
1417,8,4,1,2,1,967,Installed,Retained
1418,12,502,1,7,6,3111,Installed,Retained
1419,22,614,1,5,5,4067,Installed,Retained
1420,20,473,1,5,5,4950,Installed,Retained
1421,10,67,1,4,6,586,Installed,Retained
1422,40,254,0,9,3,1586,Installed,Retained
1423,18,558,1,6,8,2716,Installed,Retained
1424,31,513,0,5,3,2310,Installed,Retained
1425,39,80,0,7,5,3519,Installed,Retained
1426,44,621,1,8,2,2005,Installed,Retained
1427,34,902,1,5,1,572,Installed,Retained
1428,50,411,0,6,6,857,Installed,Retained
1429,9,63,0,0,2,4324,Installed,Retained
1430,13,889,1,10,3,3279,Installed,Retained
1431,40,347,0,9,1,2006,Installed,Retained
1432,44,546,1,10,6,222,Installed,Retained
1433,17,810,0,8,8,1541,Installed,Retained
1434,29,68,0,8,5,1316,Installed,Retained
1435,33,783,0,6,4,4893,Installed,Retained
1436,7,9,1,4,7,4060,Installed,Retained
1437,36,603,1,6,8,3949,Installed,Retained
1438,17,633,1,7,1,3840,Installed,Retained
1439,5,15,1,2,6,37453,Uninstalled,Churn
1440,10,65,0,2,6,2102,Installed,Retained
1441,30,481,1,5,6,1376,Installed,Retained
1442,29,93,0,5,1,4389,Installed,Retained
1443,29,568,1,8,4,2123,Installed,Retained
1444,33,423,0,7,1,3737,Installed,Retained
1445,47,319,0,5,5,1902,Installed,Retained
1446,35,434,1,10,1,3761,Installed,Retained
1447,45,75,0,5,7,3489,Installed,Retained
1448,19,786,0,5,6,4602,Installed,Retained
1449,23,551,1,9,5,3935,Installed,Retained
1450,7,85,1,0,6,2120,Installed,Retained
1451,33,486,0,6,4,1049,Installed,Retained
1452,49,267,0,7,1,4198,Installed,Retained
1453,41,566,1,5,6,507,Installed,Retained
1454,16,150,1,10,8,906,Installed,Retained
1455,30,623,1,7,2,650,Installed,Retained
1456,24,219,0,6,5,1842,Installed,Retained
1457,17,379,0,8,6,2521,Installed,Retained
1458,6,97,0,1,8,4164,Installed,Retained
1459,18,375,1,6,4,1668,Installed,Retained
1460,23,647,1,9,6,679,Installed,Retained
1461,8,44,0,3,1,1552,Installed,Retained
1462,41,635,0,6,6,301,Installed,Retained
1463,25,241,1,10,4,2932,Installed,Retained
1464,20,858,0,5,7,3131,Installed,Retained
1465,22,435,1,6,4,1778,Installed,Retained
1466,39,102,1,8,1,4891,Installed,Retained
1467,21,305,1,7,5,2681,Installed,Retained
1468,42,212,0,8,2,2220,Installed,Retained
1469,4,75,1,4,7,47412,Uninstalled,Churn
1470,35,805,0,6,1,1597,Installed,Retained
1471,42,693,1,6,5,1416,Installed,Retained
1472,22,981,0,5,1,3999,Installed,Retained
1473,25,275,1,8,6,3942,Installed,Retained
1474,20,460,1,7,3,1434,Installed,Retained
1475,11,273,0,9,4,2603,Installed,Retained
1476,0,66,0,0,10,31950,Uninstalled,Churn
1477,5,17,0,5,15,45979,Uninstalled,Churn
1478,50,886,1,9,6,524,Installed,Retained
1479,17,478,1,8,1,721,Installed,Retained
1480,29,368,1,9,3,4812,Installed,Retained
1481,11,510,0,5,6,952,Installed,Retained
1482,39,368,0,9,7,4734,Installed,Retained
1483,9,14,1,2,5,2188,Installed,Retained
1484,25,970,1,10,4,3392,Installed,Retained
1485,45,284,1,10,1,949,Installed,Retained
1486,8,39,1,4,3,3457,Installed,Retained
1487,13,125,1,10,6,1919,Installed,Retained
1488,13,619,1,10,7,4346,Installed,Retained
1489,31,207,1,7,7,2620,Installed,Retained
1490,42,83,1,7,4,4897,Installed,Retained
1491,36,633,0,5,1,2601,Installed,Retained
1492,0,21,1,5,15,38457,Uninstalled,Churn
1493,15,64,1,9,7,956,Installed,Retained
1494,16,767,1,8,5,2602,Installed,Retained
1495,28,75,0,9,7,500,Installed,Retained
1496,46,53,1,7,1,2569,Installed,Retained
1497,34,366,1,5,1,2581,Installed,Retained
1498,9,15,1,1,2,2196,Installed,Retained
1499,13,479,1,5,2,4646,Installed,Retained
1500,29,726,1,10,7,302,Installed,Retained
1501,2,81,0,4,10,15060,Uninstalled,Needs Attention
1502,2,25,0,2,13,45265,Uninstalled,Churn
1503,29,567,1,10,7,466,Installed,Retained
1504,26,819,1,10,5,4826,Installed,Retained
1505,19,636,0,5,5,1038,Installed,Retained
1506,33,829,0,6,1,226,Installed,Retained
1507,16,748,0,8,8,1085,Installed,Retained
1508,49,498,0,10,5,3756,Installed,Retained
1509,8,72,1,0,7,4645,Installed,Retained
1510,23,859,1,10,1,4409,Installed,Retained
1511,41,833,0,10,4,3604,Installed,Retained
1512,40,482,1,6,6,1655,Installed,Retained
1513,45,402,1,5,4,2847,Installed,Retained
1514,42,589,1,7,5,2934,Installed,Retained
1515,23,880,0,7,1,3340,Installed,Retained
1516,39,61,0,5,6,2057,Installed,Retained
1517,16,669,0,9,4,3067,Installed,Retained
1518,11,224,1,7,4,927,Installed,Retained
1519,11,845,1,10,1,1420,Installed,Retained
1520,4,44,1,3,7,3785,Installed,Retained
1521,16,415,0,10,1,1904,Installed,Retained
1522,6,7,1,5,7,835,Installed,Retained
1523,43,187,1,7,3,1030,Installed,Retained
1524,22,876,0,9,5,760,Installed,Retained
1525,19,79,1,9,1,2468,Installed,Retained
1526,37,678,0,8,6,4446,Installed,Retained
1527,14,530,0,6,7,3209,Installed,Retained
1528,41,319,1,7,6,4105,Installed,Retained
1529,28,427,1,6,8,2431,Installed,Retained
1530,49,161,0,10,2,4957,Installed,Retained
1531,29,516,0,9,6,3626,Installed,Retained
1532,19,168,0,8,8,926,Installed,Retained
1533,48,504,0,7,8,4643,Installed,Retained
1534,30,465,1,10,6,1275,Installed,Retained
1535,1,13,1,2,6,4097,Installed,Retained
1536,4,2,1,4,3,3238,Installed,Retained
1537,47,885,1,5,3,4096,Installed,Retained
1538,19,474,0,7,7,995,Installed,Retained
1539,5,62,1,3,9,26282,Uninstalled,Needs Attention
1540,33,703,0,9,3,2552,Installed,Retained
1541,37,155,0,9,5,398,Installed,Retained
1542,7,85,0,5,6,1732,Installed,Retained
1543,9,26,1,2,5,4605,Installed,Retained
1544,49,321,1,10,5,4470,Installed,Retained
1545,41,813,1,7,3,3962,Installed,Retained
1546,30,355,1,9,4,4637,Installed,Retained
1547,20,690,0,7,6,1497,Installed,Retained
1548,5,25,0,2,15,36478,Uninstalled,Churn
1549,45,331,0,9,1,1349,Installed,Retained
1550,33,441,0,9,2,3052,Installed,Retained
1551,35,338,1,9,7,2231,Installed,Retained
1552,20,701,0,8,3,3754,Installed,Retained
1553,18,411,1,7,5,2222,Installed,Retained
1554,33,970,0,5,8,1735,Installed,Retained
1555,24,120,1,6,7,1162,Installed,Retained
1556,36,187,1,9,3,4754,Installed,Retained
1557,41,927,0,10,2,2230,Installed,Retained
1558,24,564,0,9,5,1869,Installed,Retained
1559,7,71,0,4,6,1981,Installed,Retained
1560,34,239,1,6,4,4025,Installed,Retained
1561,2,99,0,3,6,46826,Uninstalled,Churn
1562,21,307,1,6,8,4686,Installed,Retained
1563,43,236,1,5,3,888,Installed,Retained
1564,40,511,1,6,5,356,Installed,Retained
1565,1,59,0,0,9,16381,Uninstalled,Needs Attention
1566,18,638,1,8,8,204,Installed,Retained
1567,19,537,0,10,1,4660,Installed,Retained
1568,14,836,1,5,8,4662,Installed,Retained
1569,29,743,0,6,6,1809,Installed,Retained
1570,49,371,1,10,7,1498,Installed,Retained
1571,34,90,1,7,6,4877,Installed,Retained
1572,5,36,1,3,7,37474,Uninstalled,Churn
1573,0,26,1,5,14,44275,Uninstalled,Churn
